subject_id;teacher_id;group_code;lesson_type
1;10; œ-01;lec
1;10; œ-01;prac
3;28; œ-01;prac
5;14; œ-01;prac
12;26; œ-01;lec
12;26; œ-01;prac
13;26; œ-01;lec
13;26; œ-01;prac
15;6; œ-01;lec
15;6; œ-01;prac
16;6; œ-01;lec
16;6; œ-01;prac
17;7; œ-01;lec
17;7; œ-01;prac
19;27; œ-01;lec
19;27; œ-01;prac
26;2; œ-01;lec
26;2; œ-01;lab
27;12; œ-01;lec
27;12; œ-01;lab
28;12; œ-01;lec
28;12; œ-01;lab
28;12; œ-01;cw
1;10; œ-02;lec
1;10; œ-02;prac
3;28; œ-02;prac
5;14; œ-02;prac
12;26; œ-02;lec
12;26; œ-02;prac
13;26; œ-02;lec
13;26; œ-02;prac
15;6; œ-02;lec
15;6; œ-02;prac
16;6; œ-02;lec
16;6; œ-02;prac
17;7; œ-02;lec
17;7; œ-02;prac
19;27; œ-02;lec
19;27; œ-02;prac
26;2; œ-02;lec
26;2; œ-02;lab
27;12; œ-02;lec
27;12; œ-02;lab
28;12; œ-02;lec
28;12; œ-02;lab
28;12; œ-02;cw
11;14; œ-71;prac
37;13; œ-71;lec
37;13; œ-71;lab
38;13; œ-71;lec
38;13; œ-71;lab
58;21; œ-71;lec
58;21; œ-71;lab
64;17; œ-71;lec
64;17; œ-71;prac
11;14; œ-72;prac
37;13; œ-72;lec
37;13; œ-72;lab
38;13; œ-72;lec
38;13; œ-72;lab
58;21; œ-72;lec
58;21; œ-72;lab
64;17; œ-72;lec
64;17; œ-72;prac
9;14; œ-81;prac
10;14; œ-81;prac
24;30; œ-81;lec
24;30; œ-81;lab
45;11; œ-81;lec
45;11; œ-81;lab
49;12; œ-81;lec
49;12; œ-81;lab
53;23; œ-81;lec
53;23; œ-81;lab
63;26; œ-81;lec
63;26; œ-81;lab
63;26; œ-81;cw
66;30; œ-81;lec
66;30; œ-81;prac
72;17; œ-81;lec
72;17; œ-81;lab
9;14; œ-82;prac
10;14; œ-82;prac
24;30; œ-82;lec
24;30; œ-82;lab
45;11; œ-82;lec
45;11; œ-82;lab
49;12; œ-82;lec
49;12; œ-82;lab
53;23; œ-82;lec
53;23; œ-82;lab
63;26; œ-82;lec
63;26; œ-82;lab
63;26; œ-82;cw
66;30; œ-82;lec
66;30; œ-82;prac
72;17; œ-82;lec
72;17; œ-82;lab
7;14; œ-91;prac
8;14; œ-91;prac
14;21; œ-91;lec
14;21; œ-91;prac
20;27; œ-91;lec
20;27; œ-91;prac
21;8; œ-91;lec
21;8; œ-91;prac
22;8; œ-91;lec
22;8; œ-91;prac
23;30; œ-91;lec
23;30; œ-91;prac
41;2; œ-91;lec
41;2; œ-91;prac
41;2; œ-91;cw
42;8; œ-91;lec
42;8; œ-91;prac
43;12; œ-91;lec
43;12; œ-91;prac
48;15; œ-91;lec
48;15; œ-91;lab
71;24; œ-91;lec
71;24; œ-91;prac
7;14; œ-92;prac
8;14; œ-92;prac
14;21; œ-92;lec
14;21; œ-92;prac
20;27; œ-92;lec
20;27; œ-92;prac
21;8; œ-92;lec
21;8; œ-92;prac
22;8; œ-92;lec
22;8; œ-92;prac
23;30; œ-92;lec
23;30; œ-92;prac
41;2; œ-92;lec
41;2; œ-92;lab
41;2; œ-92;cw
42;8; œ-92;lec
42;8; œ-92;prac
71;24; œ-92;lec
71;24; œ-92;prac
73;15; œ-92;lec
73;15; œ-92;lab
73;15; œ-92;cw
75;17; œ-92;lec
75;17; œ-92;lab
2;5;Õ≈-01;lec
2;5;Õ≈-01;prac
3;28;Õ≈-01;prac
4;28;Õ≈-01;prac
5;14;Õ≈-01;prac
6;14;Õ≈-01;prac
12;26;Õ≈-01;lec
12;26;Õ≈-01;prac
13;26;Õ≈-01;lec
13;26;Õ≈-01;prac
15;29;Õ≈-01;lec
15;29;Õ≈-01;prac
16;29;Õ≈-01;lec
16;29;Õ≈-01;prac
17;7;Õ≈-01;lec
17;7;Õ≈-01;prac
19;27;Õ≈-01;lec
19;27;Õ≈-01;prac
70;4;Õ≈-01;lec
70;4;Õ≈-01;prac
11;14;Õ≈-71;prac
34;15;Õ≈-71;lec
34;15;Õ≈-71;lab
34;15;Õ≈-71;cw
59;29;Õ≈-71;prac
64;17;Õ≈-71;lec
64;17;Õ≈-71;prac
10;14;Õ≈-81;prac
33;15;Õ≈-81;lec
69;20;Õ≈-81;lec
69;20;Õ≈-81;prac
76;17;Õ≈-81;lec
76;17;Õ≈-81;lab
7;14;Õ≈-91;prac
8;14;Õ≈-91;prac
14;21;Õ≈-91;lec
14;21;Õ≈-91;prac
20;27;Õ≈-91;lec
20;27;Õ≈-91;prac
21;8;Õ≈-91;lec
21;8;Õ≈-91;prac
22;8;Õ≈-91;lec
22;8;Õ≈-91;prac
23;30;Õ≈-91;lec
23;30;Õ≈-91;lab
42;8;Õ≈-91;lec
42;8;Õ≈-91;prac
67;13;Õ≈-91;lec
67;13;Õ≈-91;lab
71;1;Õ≈-91;lec
71;1;Õ≈-91;prac
1;10;ÕŒ-01;lec
1;10;ÕŒ-01;prac
2;5;ÕŒ-01;lec
2;5;ÕŒ-01;prac
3;28;ÕŒ-01;prac
4;28;ÕŒ-01;prac
5;14;ÕŒ-01;lec
5;14;ÕŒ-01;prac
6;14;ÕŒ-01;lec
6;14;ÕŒ-01;prac
60;13;ÕŒ-01;lec
60;13;ÕŒ-01;prac
61;13;ÕŒ-01;lec
61;13;ÕŒ-01;prac
7;14;ÕŒ-91;prac
7;14;ÕŒ-91;lec
62;13;ÕŒ-91;prac
62;13;ÕŒ-91;lec
2;5;Õ“-01;lec
2;5;Õ“-01;prac
3;28;Õ“-01;prac
4;28;Õ“-01;prac
5;14;Õ“-01;prac
6;14;Õ“-01;prac
12;26;Õ“-01;lec
12;26;Õ“-01;prac
13;26;Õ“-01;lec
13;26;Õ“-01;prac
15;29;Õ“-01;lec
15;29;Õ“-01;prac
16;29;Õ“-01;lec
16;29;Õ“-01;prac
17;7;Õ“-01;lec
17;7;Õ“-01;prac
19;27;Õ“-01;lec
19;27;Õ“-01;prac
65;3;Õ“-01;lec
65;3;Õ“-01;lab
11;14;Õ“-71;prac
34;15;Õ“-71;lec
34;15;Õ“-71;lab
34;15;Õ“-71;cw
59;29;Õ“-71;lec
59;29;Õ“-71;prac
59;29;Õ“-71;lec
64;17;Õ“-71;lec
64;17;Õ“-71;prac
9;14;Õ“-81;prac
10;14;Õ“-81;prac
33;15;Õ“-81;lec
66;30;Õ“-81;lec
66;30;Õ“-81;prac
69;20;Õ“-81;lec
69;20;Õ“-81;prac
72;17;Õ“-81;lec
72;17;Õ“-81;prac
76;15;Õ“-81;prac
76;17;Õ“-81;lec
76;17;Õ“-81;lab
7;14;Õ“-91;prac
8;14;Õ“-91;prac
14;21;Õ“-91;lec
14;21;Õ“-91;prac
20;27;Õ“-91;lec
20;27;Õ“-91;prac
21;8;Õ“-91;lec
21;8;Õ“-91;prac
22;8;Õ“-91;lec
22;8;Õ“-91;prac
23;30;Õ“-91;lec
23;30;Õ“-91;lab
42;8;Õ“-91;lec
42;8;Õ“-91;prac
67;13;Õ“-91;lec
67;13;Õ“-91;lab
71;1;Õ“-91;lec
71;1;Õ“-91;prac
1;10;‘¿-01;lec
1;10;‘¿-01;prac
2;5;‘¿-01;lec
2;5;‘¿-01;prac
3;28;‘¿-01;prac
4;28;‘¿-01;prac
5;14;‘¿-01;prac
6;14;‘¿-01;prac
12;16;‘¿-01;lec
12;16;‘¿-01;prac
13;16;‘¿-01;lec
13;16;‘¿-01;prac
15;6;‘¿-01;lec
15;6;‘¿-01;prac
16;6;‘¿-01;lec
16;6;‘¿-01;prac
17;7;‘¿-01;lec
17;7;‘¿-01;prac
18;7;‘¿-01;lec
18;7;‘¿-01;prac
19;24;‘¿-01;lec
19;24;‘¿-01;prac
26;2;‘¿-01;lec
26;2;‘¿-01;lab
27;26;‘¿-01;lec
27;26;‘¿-01;lab
28;26;‘¿-01;lec
28;26;‘¿-01;prac
28;26;‘¿-01;cw
39;7;‘¿-01;lec
39;7;‘¿-01;prac
1;10;‘¿-02;lec
1;10;‘¿-02;prac
2;5;‘¿-02;lec
2;5;‘¿-02;prac
3;28;‘¿-02;prac
4;28;‘¿-02;prac
5;14;‘¿-02;prac
6;14;‘¿-02;prac
12;16;‘¿-02;lec
12;16;‘¿-02;prac
13;16;‘¿-02;lec
13;16;‘¿-02;prac
15;6;‘¿-02;lec
15;6;‘¿-02;prac
16;6;‘¿-02;lec
16;6;‘¿-02;prac
17;7;‘¿-02;lec
17;7;‘¿-02;prac
18;7;‘¿-02;lec
18;7;‘¿-02;prac
19;24;‘¿-02;lec
19;24;‘¿-02;prac
26;2;‘¿-02;lec
26;2;‘¿-02;lab
27;26;‘¿-02;lec
27;26;‘¿-02;lab
28;26;‘¿-02;lec
28;26;‘¿-02;lab
28;26;‘¿-02;cw
39;7;‘¿-02;lec
39;7;‘¿-02;prac
1;10;‘¿-03;lec
1;10;‘¿-03;prac
2;5;‘¿-03;lec
2;5;‘¿-03;prac
3;28;‘¿-03;prac
4;28;‘¿-03;prac
5;14;‘¿-03;prac
6;14;‘¿-03;prac
12;16;‘¿-03;lec
12;16;‘¿-03;prac
13;16;‘¿-03;lec
13;16;‘¿-03;prac
15;6;‘¿-03;lec
15;6;‘¿-03;prac
16;6;‘¿-03;lec
16;6;‘¿-03;prac
17;7;‘¿-03;lec
17;7;‘¿-03;prac
18;7;‘¿-03;lec
18;7;‘¿-03;prac
19;24;‘¿-03;lec
19;24;‘¿-03;prac
26;2;‘¿-03;lec
26;2;‘¿-03;lab
27;26;‘¿-03;lec
27;26;‘¿-03;lab
28;26;‘¿-03;lec
28;26;‘¿-03;lab
28;26;‘¿-03;cw
39;7;‘¿-03;lec
39;7;‘¿-03;prac
11;14;‘¿-71;prac
34;19;‘¿-71;lec
34;19;‘¿-71;lab
34;19;‘¿-71;cw
35;20;‘¿-71;lec
35;20;‘¿-71;lab
36;20;‘¿-71;lec
36;20;‘¿-71;lab
54;30;‘¿-71;lec
54;30;‘¿-71;prac
56;19;‘¿-71;lec
56;19;‘¿-71;prac
