subject_id,chair_id,subject_name,subject_year,subject_semester,subject_lec_hours,subject_prac_hours,subject_lab_hours,subject_course_work_hours,subject_control
1,10,Українська мова за професійним спрямуванням,1,1,18,18,,,залік
2,10,Історія науки і техніки,1,2,18,18,,,залік
3,10,Фізичне виховання 1,1,1,,36,,,залік
4,10,Фізичне виховання 2,1,2,,36,,,залік
5,10,Іноземна мова 1,1,1,,36,,,залік
6,10,Іноземна мова 2,1,2,,36,,,залік
7,10,Іноземна мова 3,2,1,,36,,,залік
8,10,Іноземна мова 4,2,2,,36,,,залік
9,10,Іноземна мова 5,3,1,,36,,,залік
10,10,Іноземна мова 6,3,2,,18,,,залік
11,10,Іноземна мова 7,4,1,,18,,,залік
12,0,Математичний аналіз 1,1,1,54,36,,,екзамен
13,0,Математичний аналіз 2,1,2,54,36,,,екзамен
14,0,Математичний аналіз 3,2,1,54,36,,,екзамен
15,0,Алгебра і геометрія 1,1,1,36,36,,,залік
16,0,Алгебра і геометрія 2,1,2,36,36,,,екзамен
17,0,Дискретна математика 1,1,1,38,36,,,екзамен
18,0,Дискретна математика 2,1,2,18,36,,,залік
19,21,Фізика 1,1,2,36,36,,,екзамен
20,21,Фізика 2,2,1,36,36,,,залік
21,0,Диференціальні рівняння,2,1,36,36,,,екзамен
22,0,Теорія ймовірностей,2,1,36,36,,,екзамен
23,0,Чисельні методи 1,2,2,36,,18,,екзамен
24,0,Чисельні методи 2,3,1,36,,18,,залік
25,1,Функціональний аналіз,3,1,36,36,,,екзамен
26,1,Алгоритми і структури даних,1,1,36,,36,,залік
27,1,Програмування 1,1,1,54,,36,,екзамен
28,1,Програмування 2,1,2,36,,36,30,залік
29,0,Методи оптимізації 1,3,1,36,18,,,екзамен
30,0,Методи оптимізації 2,3,2,36,,18,,залік
31,1,Організація баз даних 1,3,1,18,,18,,залік
32,1,Організація баз даних 2,3,2,36,,18,30,екзамен
33,0,Теорія керування 1,3,2,36,,,,екзамен
34,0,Теорія керування 2,4,1,36,,18,30,залік
35,0,Основи системного аналізу 1,4,1,36,,18,,екзамен
36,0,Основи системного аналізу 2,4,2,27,,18,,екзамен
37,0,Теорія приняття рішень 1,4,1,54,,18,,екзамен
38,0,Теорія принйяття рішень 2,4,2,27,,,,залік
39,0,Математична логіка 1,1,2,18,18,,,залік
40,0,Математична логіка 2,2,1,36,36,,,залік
41,1,Об'єктно-орієнтоване програмування,2,1,36,,36,30,залік
42,0,Математична статистика,2,2,36,18,,,екзамен
43,1,Операційні системи,2,2,36,18,,,залік
44,0,Рівняння математичної фізики,3,1,54,18,,,екзамен
45,1,Комп'ютерні мережі,3,2,36,,18,,екзамен
46,1,Інтелектуальний аналіз даних,3,1,36,,18,,залік
47,0,Прикладна статистика,3,1,36,,18,,залік
48,1,Теорія інформації та кодування,2,2,36,,18,,залік
49,1,Розробка і тестування програм,3,1,36,,18,,залік
50,0,Теорія випадкових процесів,3,2,36,18,,,залік
51,0,Теорія ігор,3,2,36,36,,,залік
52,0,Аналіз часових рядів,3,2,36,18,,,залік
53,1,Веб-орієнтована розробка,3,2,36,,36,,залік
54,0,Стаціонарні випадкові процеси,4,1,36,18,,,залік
55,1,Розпізнавання образів,4,1,36,,18,,залік
56,0,Конфліктно-керовані системи,4,1,36,18,,,залік
57,1,Навчання з підкріпленням,4,2,36,,18,,залік
58,1,Текстова аналітика,4,2,36,,18,,залік
59,0,Теорія хаосу,4,2,36,18,,,залік
60,20,Вища математика 1,1,1,54,18,,,залік
61,20,Вища математика 2,1,2,54,18,,,залік
62,20,Вища математика 3,2,1,36,18,,,залік
63,1,Постреляційні бази даних,3,2,36,,18,30,залік
64,20,Сталий іноваційний розвиток,4,1,18,18,,,залік
65,1,Комп'ютерна дискретна математика,1,2,36,,18,,залік
66,1,Дослідження операцій,3,1,36,18,,,залік
67,20,Геоінформаційні системи,2,2,36,,18,,залік
68,21,Парові котли,2,1,36,18,,,залік
69,21,Турбіни ТЕС та АЕС,3,2,36,18,,,залік
70,21,Матеріалознавство,1,2,36,18,,,залік
71,21,Електротехніка та електроніка,2,1,36,18,,,залік
72,1,Технічне забезпечення інформаційних технологій,3,1,36,,18,,залік
73,1,Архітектура обчислювальних систем,2,2,36,,18,30,залік
74,1,Вступ до машинного навчання,3,2,36,,18,,залік
75,1,Схемотехніка,2,2,36,,18,,залік
76,1,Нано-технології в інформаційних технологіях,3,2,36,,18,,залік
